order_id,order_date,city,device_type,traffic_source,payment_method,website_visitors,added_to_cart,started_checkout,payment_success,order_value
1,2026-03-23,Amman,Desktop,Organic,Card,1,1,1,1,45.51
2,2026-01-12,Aqaba,Mobile,TikTok,Wallet,2,1,1,1,44.38
3,2026-02-05,Irbid,Desktop,Instagram,Cash,1,0,0,0,0.0
4,2026-01-20,Zarqa,Mobile,Organic,Cash,2,0,0,0,0.0
5,2026-01-13,Zarqa,Mobile,TikTok,Wallet,3,0,0,0,0.0
6,2026-01-16,Zarqa,Mobile,Organic,Card,4,1,1,1,53.7
7,2026-03-26,Amman,Mobile,Organic,Cash,2,0,0,0,0.0
8,2026-02-05,Zarqa,Mobile,Email,Wallet,4,1,1,1,16.52
9,2026-01-22,Irbid,Desktop,Organic,Card,5,1,1,1,59.42
10,2026-01-05,Zarqa,Mobile,TikTok,Cash,3,1,1,1,36.19
11,2026-03-24,Zarqa,Desktop,Email,Cash,4,1,1,0,0.0
12,2026-02-16,Irbid,Desktop,Organic,Card,2,0,0,0,0.0
13,2026-01-15,Aqaba,Desktop,Email,Cash,2,1,1,1,8.49
14,2026-03-12,Zarqa,Desktop,Organic,Cash,1,1,1,0,0.0
15,2026-02-25,Zarqa,Mobile,Email,Card,2,1,0,0,0.0
16,2026-03-22,Irbid,Mobile,Instagram,Card,3,0,0,0,0.0
17,2026-03-11,Zarqa,Desktop,Organic,Card,5,0,0,0,0.0
18,2026-02-16,Aqaba,Mobile,Email,Card,3,1,1,1,9.33
19,2026-01-17,Irbid,Desktop,Email,Wallet,4,0,0,0,0.0
20,2026-02-24,Irbid,Desktop,TikTok,Wallet,2,0,0,0,0.0
21,2026-03-25,Zarqa,Mobile,Email,Wallet,3,1,1,1,17.36
22,2026-01-30,Amman,Desktop,Organic,Wallet,5,1,1,1,17.59
23,2026-01-31,Aqaba,Mobile,TikTok,Cash,3,1,1,1,56.45
24,2026-01-25,Amman,Mobile,Organic,Cash,1,1,1,1,30.69
25,2026-02-13,Zarqa,Desktop,Paid Ads,Card,1,1,1,1,28.2
26,2026-02-26,Amman,Mobile,Paid Ads,Cash,5,1,1,1,5.81
27,2026-03-04,Aqaba,Desktop,TikTok,Cash,4,1,1,1,25.84
28,2026-02-24,Amman,Mobile,Instagram,Card,5,1,1,1,16.97
29,2026-01-07,Irbid,Mobile,Email,Card,5,1,0,0,0.0
30,2026-01-24,Irbid,Mobile,Email,Card,1,1,1,1,11.59
31,2026-02-23,Zarqa,Mobile,Instagram,Cash,5,1,1,1,41.83
32,2026-01-17,Amman,Mobile,TikTok,Wallet,3,1,0,0,0.0
33,2026-03-14,Amman,Mobile,Instagram,Cash,1,1,1,1,56.33
34,2026-01-21,Zarqa,Mobile,Email,Cash,4,0,0,0,0.0
35,2026-03-26,Irbid,Desktop,Organic,Card,1,0,0,0,0.0
36,2026-03-12,Zarqa,Desktop,Instagram,Card,2,1,1,1,16.2
37,2026-01-12,Amman,Mobile,Instagram,Card,4,0,0,0,0.0
38,2026-03-23,Amman,Mobile,Paid Ads,Wallet,3,1,1,1,35.85
39,2026-01-05,Amman,Desktop,Paid Ads,Wallet,3,1,1,1,21.95
40,2026-02-01,Irbid,Mobile,Paid Ads,Card,1,1,1,1,58.56
41,2026-02-22,Aqaba,Mobile,Instagram,Card,1,1,0,0,0.0
42,2026-03-31,Aqaba,Desktop,Instagram,Card,1,1,1,1,15.98
43,2026-01-29,Zarqa,Desktop,Email,Cash,1,1,1,1,8.82
44,2026-03-28,Zarqa,Mobile,Email,Cash,5,1,1,0,0.0
45,2026-01-05,Amman,Desktop,Email,Card,1,1,1,1,29.0
46,2026-02-02,Irbid,Desktop,TikTok,Card,1,1,1,1,34.61
47,2026-03-27,Zarqa,Desktop,Instagram,Cash,3,1,1,1,54.5
48,2026-03-31,Irbid,Desktop,TikTok,Wallet,3,1,1,1,25.85
49,2026-01-01,Aqaba,Desktop,TikTok,Wallet,3,1,1,1,41.01
50,2026-01-28,Irbid,Mobile,Instagram,Wallet,5,1,0,0,0.0
51,2026-03-26,Zarqa,Mobile,Paid Ads,Card,5,1,1,0,0.0
52,2026-01-04,Aqaba,Mobile,TikTok,Cash,1,1,1,1,9.01
53,2026-02-21,Amman,Desktop,Paid Ads,Card,2,1,1,1,52.32
54,2026-03-31,Amman,Desktop,Paid Ads,Cash,5,1,1,0,0.0
55,2026-03-27,Zarqa,Desktop,Email,Wallet,5,0,0,0,0.0
56,2026-03-06,Aqaba,Mobile,TikTok,Cash,4,0,0,0,0.0
57,2026-02-03,Zarqa,Desktop,Paid Ads,Cash,2,0,0,0,0.0
58,2026-02-26,Amman,Mobile,Paid Ads,Card,1,1,1,1,54.12
59,2026-02-19,Aqaba,Mobile,Paid Ads,Cash,2,1,1,1,34.84
60,2026-02-19,Amman,Desktop,TikTok,Card,5,0,0,0,0.0
61,2026-02-15,Aqaba,Mobile,TikTok,Card,3,0,0,0,0.0
62,2026-02-04,Irbid,Desktop,Paid Ads,Wallet,4,1,1,1,48.9
63,2026-03-10,Amman,Mobile,TikTok,Card,1,0,0,0,0.0
64,2026-03-01,Aqaba,Desktop,TikTok,Cash,2,1,1,1,22.98
65,2026-01-11,Zarqa,Mobile,Organic,Wallet,4,1,1,0,0.0
66,2026-01-06,Irbid,Mobile,Email,Card,1,0,0,0,0.0
67,2026-01-31,Zarqa,Desktop,Paid Ads,Wallet,2,1,1,1,30.58
68,2026-03-19,Irbid,Desktop,Organic,Wallet,1,0,0,0,0.0
69,2026-01-04,Aqaba,Desktop,Paid Ads,Card,3,1,0,0,0.0
70,2026-03-17,Amman,Mobile,Instagram,Wallet,2,1,1,0,0.0
71,2026-02-24,Aqaba,Mobile,TikTok,Cash,3,1,1,1,28.1
72,2026-03-23,Zarqa,Desktop,TikTok,Cash,4,1,1,0,0.0
73,2026-03-17,Zarqa,Desktop,Paid Ads,Cash,3,1,1,0,0.0
74,2026-03-14,Aqaba,Mobile,Instagram,Cash,5,1,1,1,22.88
